who,attribute,value,txn
0x0000000000000000000000000000000000000c50,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x88f6e04925ee6b738b938a62d2aac3b80dd222531689d8f33763f8a40bbd2238
0x000000000000000000000000000000000000152B,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8ef88b8372b90458e0c916ee702e533cc735227ed884f82df18e728e183c20dd
0x00000000000000000000000000000000000014e3,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8b0a4d86097b0c5c9749738c8d3ea8784a5950b969370f26c1ae1098b601dbf1
0x000000000000000000000000000000000000152A,0x63616e4275726e43414400000000000000000000000000000000000000000000,1,0x8d54fd8c24e20873c249c1999778ca6e85c55f69f988c53d8eff64be2d71b3df
0x000000000000000000000000000000000000152A,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8c952a95fd4142d57daaca0dda4cdc47b0a660dca98de0cb0cef57e71713e89d
0x000000000000000000000000000000000000086A,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x85a41803e371941583615093b105e996db194e8fcb75366220f912fa55e3270b
0x0000000000000000000000000000000000001539,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x875d846f5ff46814afc278081149f6f815d0678cb730f21c7afbd525a13bae74
0x0000000000000000000000000000000000001478,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x80e17ffe644800618e4d266c2af57e252033dc0168d4aa9448c70a9f329a18e6
0x00000000000000000000000000000000000001CD,0x63616e4275726e47425000000000000000000000000000000000000000000000,1,0x8fcd0d28537791651bf9abf9c4a038bc5ade27c37734b6a11e1ff11b97ee33ec
0xb47DeA8731Fd846065294771Ab68B3Ee1FC6E880,0x6973545553444d696e7452617469666965720000000000000000000000000000,1,0x06228225a8e4a1b1f37210458b0af39d86794abf114c832c04e3d6064be10295
0x931BC50dA2baeB7c20c74AbF585398cda1Ae9D41,0x6973545553444d696e7452617469666965720000000000000000000000000000,1,0x501f26d2613a2a53d1817e0ecc8a6eea4d1e4302b1e50ce9a874f81d922d76e4
0x009224666F0dfD9f7F19F3141B744a7ED385B20f,0x6f6e6c79526567697374727941646d696e000000000000000000000000000000,1,0xd469872259cdcd1bb809549c04a59e1ecfe29c8fff0bcf7b4e17e177f09575ca
0x000000000000000000000000000000000000153E,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x806ddd2e51ac8724d3416375184c181c42c64c07a7992f0788ae7cb0f32a5b91
0xf6E2Da7D82ee49f76CE652bc0BeB546Cbe0Ea521,0x6f6e6c79526567697374727941646d696e000000000000000000000000000000,1,0xa63f2aebd537d10327439986c7e7b0f9db04037ca22a817f30577a3feb80817d
0xf6E2Da7D82ee49f76CE652bc0BeB546Cbe0Ea521,0x6f6e6c79526567697374727941646d696e000000000000000000000000000000,0,0xfb95a3b8ff2fd47556dd4cc6826ceec044a17c127ce2b7bff7c540451ac3d707
0x009224666F0dfD9f7F19F3141B744a7ED385B20f,0x6f6e6c79526567697374727941646d696e000000000000000000000000000000,0,0x8824ada7ae128435839cf119ad077e6bc87d3f9cb8b913f2bc1b17eab5adf4a3
0x009224666F0dfD9f7F19F3141B744a7ED385B20f,0x6973526567697374727941646d696e0000000000000000000000000000000000,1,0xfcf0e2fbf48fd327e3e5424ccc127a03ebc4c0419d35faf1c363c91ddc4c6dcc
0xf6E2Da7D82ee49f76CE652bc0BeB546Cbe0Ea521,0x6973526567697374727941646d696e0000000000000000000000000000000000,1,0xac87f6a748d3b75873c3a6d9d27feba6947bba5db45feb66e79c0b1778fc6b62
0x0000000000000000000000000000000000001547,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x83f9dc639635dac80d9f6fced5cd6746e1584b1ace6d41d6167664d6c1f56778
0x0000000000000000000000000000000000001547,0x63616e4275726e484b4400000000000000000000000000000000000000000000,1,0x848a8819f65b95253ada19f99ba94a1c7df4a9cb8c655da0bfc0b746d1cddd73
0x00000000000000000000000000000000000013A3,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x80c319edf614253f63d45ea9469d28cdcfadbcfa8530fb5e8a22cbe15ca257f6
0x0000000000000000000000000000000000001548,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8d821119c1c39d4f3b46a3e429c1e1978bac3f9d326bf5d0da5ef4798648fd88
0x00000000000000000000000000000000000014bb,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8c38acffef9d96798206167e02d386314c63f1e02104540ae6914e7d580e6efc
0x0000000000000000000000000000000000001555,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x841458785fffb93bd918f52d5e9cc8252660524659bdd27c3cce472605fb3d6f
0x0000000000000000000000000000000000001230,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8cb8882f8922f067eb9c4f5d3c956628414b203d11b8698c1519f4bcb7641358
0x00000000000000000000000000000000000014CE,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x846b62daa53e0fbf690da55ebdbd5df3988647b6eb2e4c7734b9b906928c0fe1
0x0000000000000000000000000000000000001556,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8ac3d75e04ff442a8da2e5c21ed221367bc68efea12312bf7808df0ddfa2ffb8
0x0000000000000000000000000000000000001540,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x879377457232f9c6745c43f10bb51857a3d30f48f8e981748fb65549738fe5a6
0x009224666F0dfD9f7F19F3141B744a7ED385B20f,0x6973526567697374727941646d696e0000000000000000000000000000000000,1,0x595f34c213a0fdf8eca6030cf3a803e5562b0ce24adc8dfe986a3f74dfd45f3e
0x000000000000000000000000000000000000148b,0x63616e4275726e00000000000000000000000000000000000000000000000000,1,0x8d7026523eb30d2247832fdea75a31bf660258e2773cf799fcbba2098abc73c3
